U.S. Net Imports of Crude Oil and Petroleum Products
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=mttntus2&f=m
21:27:42 GMT-0500 (Central Daylight Time)
Data source: U.S. Energy Information Administration
Month,U.S. Net Imports of Crude Oil and Petroleum Products Thousand Barrels per Day
Jun 1999,10253
May 1999,10596
Apr 1999,10422
Mar 1999,9894
Feb 1999,9894
Jan 1999,9529
Dec 1998,9365
Nov 1998,10078
Oct 1998,10011
Sep 1998,9636
Aug 1998,10252
Jul 1998,10651
Jun 1998,9939
May 1998,10051
Apr 1998,10057
Mar 1998,9087
Feb 1998,8988
Jan 1998,8994
Dec 1997,8130
Nov 1997,9014
Oct 1997,9726
Sep 1997,9540
Aug 1997,9390
Jul 1997,8996
Jun 1997,9782
May 1997,9941
Apr 1997,9177
Mar 1997,8900
Feb 1997,8544
Jan 1997,8725
Dec 1996,8404
Nov 1996,8220
Oct 1996,8792
Sep 1996,8038
Aug 1996,9090
Jul 1996,8876
Jun 1996,9043
May 1996,9116
Apr 1996,8453
Mar 1996,8225
Feb 1996,7342
Jan 1996,8294
Dec 1995,7477
Nov 1995,8072
Oct 1995,7615
Sep 1995,8930
Aug 1995,8240
Jul 1995,7969
Jun 1995,8639
May 1995,7832
Apr 1995,7467
Mar 1995,8059
Feb 1995,7283
Jan 1995,7037
Dec 1994,7655
Nov 1994,7707
Oct 1994,7791
Sep 1994,8802
Aug 1994,8597
Jul 1994,8902
Jun 1994,8438
May 1994,8284
Apr 1994,8100
Mar 1994,7638
Feb 1994,7657
Jan 1994,7066
Dec 1993,7394
Nov 1993,7923
Oct 1993,8316
Sep 1993,7629
Aug 1993,7600
Jul 1993,8218
Jun 1993,7905
May 1993,7581
Apr 1993,7701
Mar 1993,7315
Feb 1993,6915
Jan 1993,6869
Dec 1992,6602
Nov 1992,6877
Oct 1992,7603
Sep 1992,7330
Aug 1992,7470
Jul 1992,7550
Jun 1992,6989
May 1992,6939
Apr 1992,7155
Mar 1992,6156
Feb 1992,5975
Jan 1992,6568
Dec 1991,6124
Nov 1991,6690
Oct 1991,6550
Sep 1991,7042
Aug 1991,7832
Jul 1991,6793
Jun 1991,7323
May 1991,7369
Apr 1991,6680
Mar 1991,5702
Feb 1991,5424
Jan 1991,5904
Dec 1990,5252
Nov 1990,5918
Oct 1990,5768
Sep 1990,6514
Aug 1990,7794
Jul 1990,8353
Jun 1990,7944
May 1990,8144
Apr 1990,7097
Mar 1990,7084
Feb 1990,7577
Jan 1990,8488
Dec 1989,6512
Nov 1989,7366
Oct 1989,7511
Sep 1989,7347
Aug 1989,7593
Jul 1989,7589
Jun 1989,7002
May 1989,6986
Apr 1989,7268
Mar 1989,6596
Feb 1989,7157
Jan 1989,7494
Dec 1988,6719
Nov 1988,6997
Oct 1988,7098
Sep 1988,6833
Aug 1988,6572
Jul 1988,6471
Jun 1988,6301
May 1988,6655
Apr 1988,6594
Mar 1988,6110
Feb 1988,6392
Jan 1988,6296
Dec 1987,5776
Nov 1987,6331
Oct 1987,6422
Sep 1987,6382
Aug 1987,6790
Jul 1987,6908
Jun 1987,6099
May 1987,5407
Apr 1987,5041
Mar 1987,5074
Feb 1987,5007
Jan 1987,5650
Dec 1986,5881
Nov 1986,5771
Oct 1986,5597
Sep 1986,6375
Aug 1986,6300
Jul 1986,6256
Jun 1986,6206
May 1986,5676
Apr 1986,4589
Mar 1986,3980
Feb 1986,3800
Jan 1986,4714
Dec 1985,4905
Nov 1985,5080
Oct 1985,4431
Sep 1985,4164
Aug 1985,3969
Jul 1985,4274
Jun 1985,4237
May 1985,5071
Apr 1985,4553
Mar 1985,3979
Feb 1985,3056
Jan 1985,3623
Dec 1984,3947
Nov 1984,4733
Oct 1984,5179
Sep 1984,4588
Aug 1984,4312
Jul 1984,4871
Jun 1984,4618
May 1984,5212
Apr 1984,4717
Mar 1984,4461
Feb 1984,5111
Jan 1984,4855
Dec 1983,4394
Nov 1983,4531
Oct 1983,4682
Sep 1983,5445
Aug 1983,5496
Jul 1983,5170
Jun 1983,4552
May 1983,4241
Apr 1983,3918
Mar 1983,2889
Feb 1983,2861
Jan 1983,3464
Dec 1982,3746
Nov 1982,4958
Oct 1982,4374
Sep 1982,4624
Aug 1982,4386
Jul 1982,5149
Jun 1982,4624
May 1982,4008
Apr 1982,3593
Mar 1982,3602
Feb 1982,4003
Jan 1982,4502
Dec 1981,5187
Nov 1981,5041
Oct 1981,5221
Sep 1981,5845
Aug 1981,5123
Jul 1981,5245
Jun 1981,5015
May 1981,5180
Apr 1981,5098
Mar 1981,5442
Feb 1981,6203
Jan 1981,6270
Dec 1980,6272
Nov 1980,5859
Oct 1980,5781
Sep 1980,5682
Aug 1980,5873
Jul 1980,5727
Jun 1980,6240
May 1980,5987
Apr 1980,6672
Mar 1980,6879
Feb 1980,7386
Jan 1980,8048
Dec 1979,8157
Nov 1979,7631
Oct 1979,8263
Sep 1979,7609
Aug 1979,8124
Jul 1979,8072
Jun 1979,7859
May 1979,7662
Apr 1979,7400
Mar 1979,8150
Feb 1979,8105
Jan 1979,8756
Dec 1978,8786
Nov 1978,8443
Oct 1978,7845
Sep 1978,8559
Aug 1978,7881
Jul 1978,7947
Jun 1978,7709
May 1978,7218
Apr 1978,7406
Mar 1978,8232
Feb 1978,7911
Jan 1978,8076
Dec 1977,8251
Nov 1977,7900
Oct 1977,8109
Sep 1977,8273
Aug 1977,8345
Jul 1977,8842
Jun 1977,8712
May 1977,8283
Apr 1977,8499
Mar 1977,9176
Feb 1977,9763
Jan 1977,8711
Dec 1976,8168
Nov 1976,7712
Oct 1976,7338
Sep 1976,7728
Aug 1976,7162
Jul 1976,7641
Jun 1976,7262
May 1976,6144
Apr 1976,6373
Mar 1976,6502
Feb 1976,6471
Jan 1976,6558
Dec 1975,6164
Nov 1975,6253
Oct 1975,6142
Sep 1975,6599
Aug 1975,6095
Jul 1975,5773
Jun 1975,5182
May 1975,5012
Apr 1975,4850
Mar 1975,5517
Feb 1975,5928
Jan 1975,6633
Dec 1974,6436
Nov 1974,6612
Oct 1974,5954
Sep 1974,5881
Aug 1974,6114
Jul 1974,6283
Jun 1974,6122
May 1974,6247
Apr 1974,5736
Mar 1974,5078
Feb 1974,5013
Jan 1974,5164
Dec 1973,5828
Nov 1973,6720
Oct 1973,6411
Sep 1973,6168
Aug 1973,6373
Jul 1973,5938
Jun 1973,5675
May 1973,5604
Apr 1973,5318
Mar 1973,6386
Feb 1973,6246
Jan 1973,5646
