Week of,Thousand_Barrels
3/4/2011,19669
2/25/2011,18958
2/18/2011,19664
2/11/2011,19793
2/4/2011,19157
1/28/2011,18787
1/21/2011,19035
1/14/2011,19113
1/7/2011,18958
12/31/2010,19059
12/24/2010,20749
12/17/2010,19981
12/10/2010,20209
12/3/2010,19936
11/26/2010,18454
11/19/2010,19010
11/12/2010,18919
11/5/2010,19609
10/29/2010,19267
10/22/2010,19366
10/15/2010,18682
10/8/2010,18714
10/1/2010,18784
9/24/2010,19754
9/17/2010,19098
9/10/2010,19216
9/3/2010,19447
8/27/2010,19590
8/20/2010,19293
8/13/2010,19415
8/6/2010,19472
7/30/2010,19302
7/23/2010,19642
7/16/2010,19281
7/9/2010,18724
7/2/2010,19599
6/25/2010,18967
6/18/2010,19498
6/11/2010,19135
6/4/2010,19316
5/28/2010,20021
5/21/2010,19714
5/14/2010,19604
5/7/2010,19320
4/30/2010,19467
4/23/2010,18428
4/16/2010,18484
4/9/2010,19012
4/2/2010,18907
3/26/2010,19021
3/19/2010,19336
3/12/2010,18832
3/5/2010,19653
2/26/2010,19618
2/19/2010,19283
2/12/2010,19092
2/5/2010,19261
1/29/2010,18742
1/22/2010,18884
1/15/2010,18736
1/8/2010,18637
1/1/2010,18755
12/25/2009,19062
12/18/2009,19377
12/11/2009,19572
12/4/2009,18348
11/27/2009,18323
11/20/2009,18820
11/13/2009,18506
11/6/2009,18315
10/30/2009,19144
10/23/2009,18523
10/16/2009,18669
10/9/2009,18936
10/2/2009,18733
9/25/2009,18909
9/18/2009,18476
9/11/2009,19104
9/4/2009,19522
8/28/2009,19713
8/21/2009,19473
8/14/2009,19279
8/7/2009,18702
7/31/2009,19287
7/24/2009,18713
7/17/2009,18917
7/10/2009,18846
7/3/2009,18494
6/26/2009,18169
6/19/2009,17913
6/12/2009,18964
6/5/2009,18725
5/29/2009,17679
5/22/2009,18579
5/15/2009,18403
5/8/2009,18168
5/1/2009,18019
4/24/2009,18429
4/17/2009,18160
4/10/2009,18239
4/3/2009,18867
3/27/2009,18591
3/20/2009,19191
3/13/2009,18787
3/6/2009,18892
2/27/2009,19577
2/20/2009,19233
