U.S. Imports of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=mcrimus2&f=m
18:10:05 GMT-0500 (Central Daylight Time)
Data source: U.S. Energy Information Administration
Month,U.S. Imports of Crude Oil Thousand Barrels per Day
Dec 1930,152
Nov 1930,149
Oct 1930,163
Sep 1930,194
Aug 1930,163
Jul 1930,190
Jun 1930,192
May 1930,161
Apr 1930,193
Mar 1930,156
Feb 1930,154
Jan 1930,176
Dec 1929,190
Nov 1929,152
Oct 1929,186
Sep 1929,232
Aug 1929,187
Jul 1929,197
Jun 1929,220
May 1929,244
Apr 1929,261
Mar 1929,219
Feb 1929,251
Jan 1929,260
Dec 1928,220
Nov 1928,230
Oct 1928,216
Sep 1928,238
Aug 1928,198
Jul 1928,254
Jun 1928,218
May 1928,218
Apr 1928,189
Mar 1928,221
Feb 1928,208
Jan 1928,204
Dec 1927,200
Nov 1927,178
Oct 1927,152
Sep 1927,171
Aug 1927,202
Jul 1927,156
Jun 1927,134
May 1927,147
Apr 1927,135
Mar 1927,148
Feb 1927,149
Jan 1927,148
Dec 1926,161
Nov 1926,168
Oct 1926,125
Sep 1926,145
Aug 1926,172
Jul 1926,167
Jun 1926,186
May 1926,145
Apr 1926,197
Mar 1926,233
Feb 1926,134
Jan 1926,151
Dec 1925,137
Nov 1925,163
Oct 1925,141
Sep 1925,134
Aug 1925,130
Jul 1925,134
Jun 1925,172
May 1925,209
Apr 1925,183
Mar 1925,206
Feb 1925,199
Jan 1925,227
Dec 1924,188
Nov 1924,222
Oct 1924,157
Sep 1924,178
Aug 1924,186
Jul 1924,210
Jun 1924,222
May 1924,238
Apr 1924,243
Mar 1924,278
Feb 1924,225
Jan 1924,203
Dec 1923,272
Nov 1923,203
Oct 1923,220
Sep 1923,201
Aug 1923,245
Jul 1923,223
Jun 1923,200
May 1923,193
Apr 1923,221
Mar 1923,260
Feb 1923,221
Jan 1923,236
Dec 1922,231
Nov 1922,248
Oct 1922,325
Sep 1922,160
Aug 1922,332
Jul 1922,338
Jun 1922,406
May 1922,452
Apr 1922,389
Mar 1922,452
Feb 1922,431
Jan 1922,423
Dec 1921,444
Nov 1921,433
Oct 1921,375
Sep 1921,305
Aug 1921,108
Jul 1921,260
Jun 1921,342
May 1921,295
Apr 1921,337
Mar 1921,397
Feb 1921,407
Jan 1921,428
Dec 1920,414
Nov 1920,458
Oct 1920,366
Sep 1920,388
Aug 1920,348
Jul 1920,218
Jun 1920,271
May 1920,225
Apr 1920,206
Mar 1920,210
Feb 1920,170
Jan 1920,203
